POINT (-76.9370133157 38.912223266),4400 BLK QUARLES ST NE,7,Nyssa sylvatica,Tupelo,,,Good,Nyssaceae,Nyssa
POINT (-76.991600022699998 38.897046275299999),500 blk 11TH ST NE,6,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-77.005092846400004 38.8468614218),200 blk ORANGE ST SE,8,Prunus species,Cherry,,,Good,Rosaceae,Prunus
POINT (-77.054740614400004 38.926674386800002),2632 GARFIELD ST NW,3,Platanus x acerifolia 'Bloodgood',Bloodgood london plane tree,,,Excellent,Platanaceae,Platanus
POINT (-76.968172837 38.852958581700001),2714 JAMES M MCGEE JR ST,8,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-77.061248674400005 38.9301707467),3036 KLINGLE RD NW,3,Quercus rubra,Red oak,,,Good,Fagaceae,Quercus
POINT (-76.982557997300006 38.895436952399997),1531 ISHERWOOD ST NE,6,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.991595191900004 38.893770944300002),300 11TH ST NE,6,Liquidambar styraciflua,Sweetgum,,,Good,Hamamelidaceae,Liquidambar
POINT (-77.023056403400005 38.8949930689),400 8TH ST NW,2,Cercidiphyllum japonicum,Katsuratree,,,Good,Cercidiphyllaceae,Cercidiphyllum
POINT (-77.019330016400005 38.894495955),500 INDIANA AVE NW,6,Quercus rubra,Red oak,,,Good,Fagaceae,Quercus
POINT (-77.020309406899997 38.963177474600002),520 POWHATAN PL NW,4,Acer platanoides,Norway maple,,,Good,Aceraceae,Acer
POINT (-77.015117873700007 38.911591246500002),1615 3RD ST NW,5,Gleditsia species,Honeylocust,,,Good,Fabaceae,Gleditsia
POINT (-77.023009616099998 38.910971881800002),OPP 1543 8TH ST NW,2,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.024858525499994 38.926911460600003),756 HARVARD ST NW,1,Ginkgo biloba (male),Ginkgo (male),,,Good,Ginkgoaceae,Ginkgo
POINT (-77.001891778800001 38.835605501099998),OPP 216 MISSISSIPPI AVE SE,8,Lagerstroemia indica,Crape myrtle,,,Excellent,,Lagerstroemia
POINT (-77.006204559799997 38.903680059700001),Unit L ST NE ,6,Ulmus parvifolia,,,,Excellent,,
POINT (-76.942676722499996 38.891571926799998),OPP 27 42ND ST NE,7,Ulmus parvifolia,Chinese elm,None present,None present,Good,Ulmaceae,Ulmus
POINT (-76.984113597100006 38.907360176200001),1275 MEIGS PL NE,5,,,,,,,
POINT (-77.011148857699993 38.9523054207),opp 59 GALLATIN ST NW,4,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.990770984500003 38.890439651199998),1116 EAST CAPITOL ST BN,6,Ulmus species,Elm,,,Good,Ulmaceae,Ulmus
POINT (-76.979969940100005 38.889726530799997),1700 blk EAST CAPITOL ST ,6,Ulmus americana 'Princeton',Princeton elm,,,Good,Ulmaceae,Ulmus
POINT (-76.98712781899999 38.891967774299999),1333 CONSTITUTION AVE NE,6,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-76.990261921300004 38.839534342599997),1100 BLK MISSISSIPPI AVE SE,8,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-77.023012845400004 38.9122958126),1700 8th street nw,2,Tilia cordata,Littleleaf linden,,,Fair,Tiliaceae,Tilia
POINT (-77.015064246700007 38.879607728499998),802 3RD ST SW,6,Other (See Notes),Other (See Notes),,,Good,Null,Other
POINT (-77.094267231299995 38.921539817),2239 48TH ST NW,3,Cornus florida,Flowering Dogwood,,,Good,Cornaceae,Cornus
POINT (-77.054502898400003 38.926741515),2621 GARFIELD ST NW,3,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.033736204600004 38.927406240099998),1420 COLUMBIA RD NW,1,Platanus x acerifolia,London plane tree,,,Excellent,Platanaceae,Platanus
POINT (-77.069814827599998 38.924821065400003),2701 35TH PL NW,3,Liquidambar Stryaciflua 'Sterile',Sweetgum (sterile),,,Excellent,Aceraceae,Acer
POINT (-76.962505533799998 38.853795126800001),2823 31ST ST SE,7,Magnolia acuminata,Cucumber magnolia,,,Good,Magnoliaceae,Magnolia
POINT (-77.023681994200004 38.919738177500001),2000 BLK 9TH ST NW,1,,,,,,,
POINT (-77.000984591199995 38.918058637199998),323 V ST NE/3rd st,5,,,,,,,
POINT (-76.993408148300006 38.857440929399999),opp to 2658 SHERIDAN RD SE,8,Catalpa bignonioides,Southern catalpa,,,Fair,Bignoniaceae,Catalpa
POINT (-77.0433974054 38.921612443800001),1840 COLUMBIA RD NW,1,Koelreuteria paniculata,Goldenrain tree,,,Excellent,Sapindaceae,Koelreuteria
POINT (-76.965402198600003 38.9189122724),3030 V ST NE,5,,,,,,,
POINT (-76.979011675099997 38.907095718599997),opp 1251 BLADENSBURG RD NE,5,,,,,,,
POINT (-77.028495520700005 38.965483254),6213 12TH ST NW,4,Amelanchier species,Serviceberry,,,Good,Rosaceae,Amelanchier
POINT (-77.032507550299997 38.937075120400003),1375 SPRING RD NW,4,Ginkgo biloba,Ginkgo,,,Good,Ginkgoaceae,Ginkgo
POINT (-76.959189371600004 38.858415739),3300 BLK DENVER ST SE,7,Ulmus americana 'New Harmony',New Harmony elm,,,Good,Ulmaceae,Ulmus
POINT (-77.054491738300001 38.939707799),2950 LINNEAN AVE NW,3,Other (See Notes),Other (See Notes),,,Good,Null,Other
POINT (-76.926119545399999 38.890461559499997),UNIT BLK 53RD ST NE,7,Prunus species,Cherry,,,Good,Rosaceae,Prunus
POINT (-76.990535108100005 38.889177192600002),1125 EAST CAPITOL ST BN,6,Quercus lyrata,Overcup oak,,,Good,Fagaceae,Quercus
POINT (-76.914830008099997 38.888724991099998),5900 SOUTHERN AVE SE,7,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-76.954971773099999 38.888751415599998),3525 A ST SE,7,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.946310766 38.871829912700001),4001 MASSACHUSETTS AVE SE,7,Koelreuteria paniculata,Goldenrain tree,,,Good,Sapindaceae,Koelreuteria
POINT (-76.97814070299999 38.884059333),1821 D ST SE,6,Tilia tomentosa,Silver linden,,,Good,Tiliaceae,Tilia
POINT (-76.998247887600002 38.898175159200001),600 blk MORRIS PL NE,6,Ginkgo biloba (male),Ginkgo (male),,,Good,Ginkgoaceae,Ginkgo
POINT (-77.062706091799996 38.957065345099998),3051 HARRISON ST NW,3,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.963794757100004 38.872073987599997),3016 P ST SE,7,Other (See Notes),Other (See Notes),,,Good,Null,Other
POINT (-77.005414567299994 38.821406263599997),4801 1ST ST SW,8,Acer platanoides,Norway maple,,,Good,Aceraceae,Acer
POINT (-77.081758590500002 38.955910629900004),4130 GARRISON ST NW,3,Prunus yedoensis,Yoshino cherry,,,Good,Rosaceae,Prunus
POINT (-76.994804807400001 38.860063182300003),2501 MARTIN LUTHER KING JR AVE SE,8,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.098764838600005 38.947968268099999),4947 ALBEMARLE ST NW,3,Cercis species,Redbud,,,Excellent,Fabaceae,Cercis
POINT (-76.992078433700001 38.887545279299999),1015 INDEPENDENCE AVE SE,6,Platanus x acerifolia,London plane tree,,,Poor,Platanaceae,Platanus
POINT (-76.9301216856 38.890929589199999),100 50TH ST NE,7,Liquidambar styraciflua,Sweetgum,,,Good,Hamamelidaceae,Liquidambar
POINT (-77.107105386200004 38.935044151900001),5197 WATSON ST NW,3,Acer platanoides,Norway maple,,,Good,Aceraceae,Acer
POINT (-77.079297743200001 38.933192635499999),3955 MASSACHUSETTS AVE NW,3,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-76.956719280900003 38.867800588199998),Opp 3350 PENNSYLVANIA AVE SE/Median,7,Prunus virginiana,Chokecherry,,,Good,,
POINT (-77.032206783899994 38.914801184799998),1400 BLK SWANN ST NW,2,,,,,Dead,Platanaceae,
POINT (-76.982516890900001 38.867667318099997),1452 MINNESOTA AVE SE,8,Quercus acutissima,Sawtooth oak,,,Good,Fagaceae,Quercus
POINT (-76.93831021 38.889438137200003),OPP 4815 TEXAS AVE SE / MEDIAN,7,Ulmus americana 'New Harmony',New Harmony elm,,,Good,Ulmaceae,Ulmus
POINT (-77.061240065800007 38.939450571800002),3031 SEDGWICK ST NW,3,Acer platanoides,Norway maple,,,Fair,Aceraceae,Acer
POINT (-77.068858918399997 38.9247435435),opp 3510  EDMUNDS ST NW,3,Pyrus calleryana 'Bradford',Bradford callery pear,,,Good,Rosaceae,Pyrus
POINT (-76.955081511 38.890786549600001),100 35TH ST NE,7,Gleditsia triacanthos var. inermis,Thornless honeylocust,,,Good,Fabaceae,Gleditsia
POINT (-76.9247618128 38.889653041599999),5327 EAST CAPITOL ST SE,7,Ulmus americana 'New Harmony',New Harmony elm,,,Good,Ulmaceae,Ulmus
POINT (-77.001976624099996 38.893752535300003),OPP 300 3RD ST NE,6,Quercus rubra,Red oak,,,Excellent,,Quercus
POINT (-76.9353048081 38.906132689499998),4612 MEADE ST NE,7,Gleditsia triacanthos var. inermis,Thornless honeylocust,,,Good,Fabaceae,Gleditsia
POINT (-77.036389229500003 38.924087028400002),2633 16TH ST NW,1,,,,,,,
POINT (-77.078849719100006 38.954754227199999),3963 FESSENDEN ST NW,3,Celtis laevigata,Sugarberry,,,Good,Ulmaceae,Celtis
POINT (-77.022332402299995 38.878153539),0 MAINE AVE SW,6,Quercus phellos,Willow oak,Hypoxylon,,Poor,Fagaceae,Quercus
POINT (-76.986565665599997 38.8578699316),1483 HOWARD RD SE,8,Lagerstroemia indica,Crape myrtle,,,Dead,Lythraceae,Lagerstroemia
POINT (-77.099352716300004 38.933585832),4955 LOUGHBORO RD NW,3,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.973639537300002 38.923390315200002),2213 DOUGLAS ST NE,5,,,,,,,
POINT (-77.066364595699994 38.9068527007),3307 N ST NW,2,Celtis occidentalis,Hackberry,,,Excellent,Ulmaceae,Celtis
POINT (-77.009131813799996 38.965889481300003),6210 NORTH CAPITOL ST BN,4,Acer saccharum,Sugar maple,,,Dead,Aceraceae,Acer
POINT (-76.933658638899999 38.874056006700002),4600 BLK SOUTHERN AVE SE,7,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-77.019339694500005 38.896054067),500 BLOCK E ST NW,6,Koelreuteria paniculata,Goldenrain tree,,,Good,Sapindaceae,Koelreuteria
POINT (-77.017486655599996 38.948391495800003),4700 blk 4TH ST NW,4,Cercis species,Redbud,,,Good,Fabaceae,Cercis
POINT (-76.923309134099995 38.8869499921),OPP 110 54TH ST SE,7,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-77.073450696799995 38.935604592600001),opp 3412 IDAHO AVE NW,3,Quercus phellos,Willow oak,,,Excellent,Fagaceae,Quercus
POINT (-77.0203918805 38.879216651900002),600 BLOCK I ST SW,6,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-76.966048090900003 38.87589104),opp 2847 MINNESOTA AVE SE,7,Quercus lyrata,Overcup oak,,,Good,Fagaceae,Quercus
POINT (-76.937788864799998 38.875291185199998),1226 CHAPLIN ST SE,7,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-76.996245264799995 38.925322784800002),2720 7TH ST NE,5,,,,,,,
POINT (-77.066945989 38.927457667399999),3404 GARFIELD ST NW,3,,,,,,,
POINT (-76.983968111600007 38.921969126599997),OPP 1427 DOWNING ST NE,5,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.934949639699994 38.876542851499998),4500 BLK HILLSIDE RD SE,7,Liriodendron tulipifera,Tulip poplar,,,Good,Magnoliaceae,Liriodendron
POINT (-76.967303972400003 38.9329272823),2800 blk MONROE ST NE,5,Catalpa bignonioides,Southern catalpa,,,Good,Bignoniaceae,Catalpa
POINT (-77.0079337799 38.9170753378),OPP 24 RHODE ISLAND AVE NE,5,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.934781194899998 38.874742288900002),1300 45TH PL SE,7,Platanus x acerifolia 'Bloodgood',Bloodgood london plane tree,,,Excellent,Platanaceae,Platanus
POINT (-77.020703868400005 38.9602233695),513 NICHOLSON ST NW,4,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.071079018800006 38.906749850499999),OPP 3624 N ST NW,2,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-77.00989868 38.914141989500003),19 S ST NW/N CAPITOL,5,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-77.003646488699999 38.846597116600002),408 ORANGE ST SE,8,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.031770329 38.962958410600002),1340 PEABODY ST NW,4,,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.926127959900001 38.884537561400002),300 BLK 53RD ST SE,7,Quercus palustris,Pin oak,,,Poor,Fagaceae,Quercus
POINT (-76.983804535800004 38.924376296600002),1500 block Saratoga Ave NE/Channing in park,5,Quercus alba,American elm,,,Excellent,,Ulmus
POINT (-77.028242400600007 38.9779447011),OPP 1205  FERN ST NW,4,Cercis species,Redbud,,,Dead,Fabaceae,Cercis
POINT (-76.966020243900005 38.918956941700003),3000 V ST NE,5,,,,,,,
POINT (-77.006912167 38.829262697200001),20 CHESAPEAKE ST SE,8,Prunus serrulata 'Kwanzan',Kwanzan cherry,,,Good,Rosaceae,Prunus
POINT (-77.004258701699996 38.840113947799999),opp 3507 MARTIN LUTHER KING JR AVE SE,8,Quercus lyrata,Overcup oak,,,Good,Fagaceae,Quercus
POINT (-77.033695557100003 38.9668073701),1400 SOMERSET PL NW,4,Acer campestre,Hedge maple,,,Good,Aceraceae,Acer
POINT (-77.022357013 38.936070156299998),734 QUEBEC PL NW,1,Platanus occidentalis,American sycamore,,,Good,Platanaceae,Platanus
POINT (-76.988520798300002 38.929872912900002),0 13TH ST NE,5,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.993818764400004 38.892760314299998),226 9TH ST NE,6,Acer saccharinum,Silver maple,,,Fair,Aceraceae,Acer
POINT (-77.021817450699999 38.910789971600003),1541 7TH ST NW,6,Quercus rubra,Red oak,,,Good,Fagaceae,Quercus
POINT (-77.028670486199999 38.908530393699998),OPP 1211 O ST NW,2,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.070949940199995 38.970941636500001),6123 BROAD BRANCH RD NW,4,Carpinus caroliniana,Ironwood,,,Good,Betulaceae,Carpinus
POINT (-77.063987126100002 38.906063784899999),3251 PROSPECT ST NW,2,Betula nigra,River birch,,,Fair,Betulaceae,Betula
POINT (-77.025131019900002 38.944499996899999),4417 9TH ST NW,4,Acer campestre,Hedge maple,,,Good,Aceraceae,Acer
POINT (-76.940302287799994 38.896737519200002),4265 EDSON PL NE,7,Nyssa sylvatica,Tupelo,,,Good,Nyssaceae,Nyssa
POINT (-77.002096744300005 38.922178665600001),opp 2429 3RD ST NE,5,Betula nigra,River birch,,,Good,Betulaceae,Betula
POINT (-77.000674165099994 38.923081996599997),2514 4TH ST NE,5,,,,,,,
POINT (-77.0199631805 38.959879495199999),opp 5737 5TH ST NW,4,Quercus species,Oak,,,Poor,Fagaceae,Quercus
POINT (-77.019965552900004 38.959972435499999),5726 5TH ST NW,4,Malus species,Crabapple,,,Good,Rosaceae,Malus
POINT (-76.938541469599997 38.895536021600002),4410 EADS ST NE,7,Liquidambar styraciflua,Sweetgum,,,Fair,Hamamelidaceae,Liquidambar
POINT (-76.963642270899996 38.920705311399999),2300 blk 31ST ST NE,5,Prunus Okame,Cherry (Snowgoose),,,Excellent,,Prunus
POINT (-77.001044068200002 38.894845386199997),324 D ST NE,6,Liquidambar rotundiloba,Rotundiloba sweetgum,,,Good,Hamamelidaceae,Liquidambar
POINT (-77.001193744199995 38.955763564),5500 blk S. DAKOTA AVE NE,5,Quercus palustris,Pin oak,,,Poor,Fagaceae,Quercus
POINT (-77.000905056799994 38.954438938400003),5228 4TH ST NE/Hamilton,5,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-77.0137412574 38.916243217500003),142 THOMAS ST NW,5,Ginkgo biloba (male),Ginkgo (male),,,Good,Ginkgoaceae,Ginkgo
POINT (-76.996106024 38.904058327800001),1109 7TH ST NE,6,Liquidambar Stryaciflua 'Sterile',Sweetgum (sterile),,,Good,Hamamelidaceae,Liquidambar
POINT (-76.988111814199996 38.905624274200001),1403 MONTELLO AVE ,5,Celtis occidentalis,Hackberry,,,Good,Ulmaceae,Celtis
POINT (-76.933516027 38.899682909200003),4800 blk HAYES ST NE,7,Quercus macrocarpa,Bur oak,,,Excellent,Fagaceae,Quercus
POINT (-76.943924500500003 38.899020718300001),4109 GAULT PL NE,7,,,,,,Fagaceae,Quercus
POINT (-77.012924701200006 38.900574433099997),800 BLOCK NEW JERSEY AVE NW,6,Zelkova serrata 'Green Vase',Green Vase Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.001980707100003 38.896446187499997),509 3RD ST NE,6,Fagus sylvatica 'Atropuncea',Copper Beech,,,Good,Fagaceae,Fagus
POINT (-76.989708717 38.897285782799997),1211 F ST NE,6,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-76.981136921100003 38.8966349851),1625 F ST NE,6,Platanus x acerifolia 'Bloodgood',Bloodgood london plane tree,,,Good,Platanaceae,Platanus
POINT (-77.068484909399999 38.910764207500002),3423 Q ST NW,2,Gleditsia triacanthos var. inermis 'Skyline',Skyline honeylocust,,,Good,Fabaceae,Gleditsia
POINT (-77.026641988199998 38.967262323200003),900 TUCKERMAN ST NW,4,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.996809300799995 38.857883605300003),2641 BIRNEY PL SE,8,Koelreuteria paniculata,Goldenrain tree,,,Excellent,Sapindaceae,Koelreuteria
POINT (-76.974239438300003 38.939492068500002),4036 22nd St NE,5,Lagerstroemia indica,Crape myrtle,,,Good,Lythraceae,Lagerstroemia
POINT (-76.980289267499998 38.935792101600001),opp 1725 OTIS PL NE,5,Tilia cordata,Littleleaf linden,,,Good,Tiliaceae,Tilia
POINT (-76.9776631716 38.888726147699998),1832 A ST SE,6,Cladrastis lutea,Yellowwood,,,Good,Fabaceae,Cladrastis
POINT (-76.937693786200001 38.891207891199997),125 45TH ST NE,7,Other (See Notes),Other (See Notes),,,Excellent,Null,Other
POINT (-76.963155124099998 38.861256985799997),3035 ALABAMA AVE SE,7,Quercus acutissima,Sawtooth oak,,,Good,Fagaceae,Quercus
POINT (-76.926037133700007 38.882558910500002),5311 DRAKE PL SE,7,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
POINT (-77.04059119199999 38.924700876800003),2712 ONTARIO RD NW,1,Ulmus parvifolia,Chinese elm,,,Excellent,Ulmaceae,Ulmus
POINT (-76.95497143599999 38.894726782799999),3500 BLK DIX ST NE,7,Quercus lyrata,Overcup oak,,,Good,Fagaceae,Quercus
POINT (-77.027171721399995 38.932153419499997),1002 PARK RD NW,1,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
