xy,address,ward,scientific_name,common_name,disease,pests,condition,fam_name,genus_name
POINT (-76.977327216 38.885854802399997),200 BLK 19TH ST SE,6,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.006924447100005 38.946613642099997),60 ALLISON ST NE,5,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-76.9409042833 38.905675696),4248 MEADE ST NE,7,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.058811697300001 38.964381374299997),5546 29TH ST NW,4,Magnolia Species,Magnolia,,,Good,Magnoliaceae,Magnolia
POINT (-77.073536732500003 38.915421676800001),3719 T ST NW,2,Tilia cordata,Littleleaf linden,,,Fair,Tiliaceae,Tilia
POINT (-77.008230456 38.821103259200001),126 IVANHOE ST SW,8,Liquidambar styraciflua,Sweetgum,,,Good,Hamamelidaceae,Liquidambar
POINT (-77.020278279600006 38.945289834100002),517 ALLISON ST NW,4,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-76.994781672200006 38.951179520300002),5111 S. DAKOTA AVE NE/8th St,5,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.931580180699996 38.901859409799997),900 blk 49TH ST NE,7,Quercus bicolor,Swamp white oak,,Scale,Good,Fagaceae,Quercus
POINT (-76.934341101800001 38.8773452844),1132 46TH ST SE,7,,American elm,,,,Ulmaceae,Ulmus
POINT (-76.989054970200002 38.901375238200004),1228 I ST NE,6,Gymnocladus dioicus,Kentucky coffeetree,,,Good,Fabaceae,Gymnocladus
POINT (-76.924722901199999 38.903740826),5201 SHERIFF RD NE,7,Prunus virginiana,Chokecherry,,,Good,Rosaceae,Prunus
POINT (-77.003582745299994 38.890376402699999),0 2ND ST NE,6,Other (See Notes),Other (See Notes),,,Good,Null,Other
POINT (-77.100258599100002 38.943150376699997),5027 VAN NESS ST NW,3,Quercus rubra,Red oak,,,Fair,Fagaceae,Quercus
POINT (-77.049967351399999 38.9118384963),2232 MASSACHUSETTS AVE NW,2,Tilia tomentosa,Silver linden,,,Good,Tiliaceae,Tilia
POINT (-77.103643305099993 38.944814905),4200 DALECARLIA PKWY NW,3,Cercis canadensis,Dogwood,,,Fair,Cornaceae,Cornus
POINT (-77.101774516099994 38.9480168049),4200 DALECARLIA PKWY NW,3,Other (See Notes),Other (See Notes),,Scale,Excellent,Rosaceae,Amelanchier
POINT (-77.007901677700005 38.903783700600002),UNIT BLOCK L ST NE,6,Liquidambar rotundiloba,Rotundiloba sweetgum,,,Fair,Hamamelidaceae,Liquidambar
POINT (-76.943924874199993 38.881629555899998),4200 BLK TEXAS AVE SE / BURNS,7,Quercus acutissima,Sawtooth oak,,,Fair,Fagaceae,Quercus
POINT (-77.008503811799997 38.947239275699999),4561 NORTH CAPITOL ST @ Buchanan,5,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.084874139099995 38.910186419299997),OPP 4487 Q ST NW,3,Zelkova serrata 'Green Vase',Green Vase Japanese zelkova,,,Excellent,Ulmaceae,Zelkova
POINT (-77.098583313199995 38.942986987099999),5000 VAN NESS ST NW/FORDHAM ST NW,3,Gymnocladus dioicus,Kentucky coffeetree,,,Excellent,Fabaceae,Gymnocladus
POINT (-77.004062845899995 38.916957403399998),169 U ST NE,5,Platanus x acerifolia 'Bloodgood',Bloodgood london plane tree,,,Good,Platanaceae,Platanus
POINT (-77.007295983299997 38.917167433199999),1900 BLK LINCOLN RD NE,5,Ulmus 'Accolade',Elm (Accolade),,,Good,Ulmaceae,Ulmus
POINT (-77.070973734099994 38.915391785099999),3548 T ST NW,2,Lagerstroemia indica,Crape myrtle,,,Excellent,Lythraceae,Lagerstroemia
POINT (-77.033943034299995 38.9180721635),1450 V ST NW,1,Platanus x acerifolia,London plane tree,,,Excellent,Platanaceae,Platanus
POINT (-77.103635361499997 38.944872822599997),4200 DALECARLIA PKWY NW,3,Cornus kousa,Redbud,,,Good,Fabaceae,Cercis
POINT (-77.084647636499994 38.9432293857),4315 VAN NESS ST NW,3,Other (See Notes),Other (See Notes),,,Good,Fagaceae,Quercus
POINT (-77.029866153300006 38.968960305800003),1300 UNDERWOOD ST NW,4,,,,,,Aceraceae,Acer
POINT (-77.103783392699995 38.943138475799998),4200 DALECARLIA PKWY NW,3,Cornus species,Dogwood,,,Dead,Cornaceae,Cornus
POINT (-77.059405301799998 38.919464344700003),2215 30TH ST NW,3,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.91280186 38.890324142399997),0 SOUTHERN AVE NE,7,Ulmus americana,American elm,,,Fair,Ulmaceae,Ulmus
POINT (-76.982998302799999 38.942496943400002),1600blk MICHIGAN AVE NE,5,Ulmus species,Elm,,,Good,Ulmaceae,Ulmus
POINT (-77.051031520400002 38.924718802599998),2634 WOODLEY PL NW,1,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.065178374200002 38.9078775053),OPP 3240 O ST NW,2,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-77.041296615899995 38.923703361299999),1755 COLUMBIA RD NW,1,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-77.058321599 38.958570308200002),5301 29th ST NW,4,Tilia species,,,,Excellent, ,
POINT (-77.072673749800003 38.9497386659),3705 BRANDYWINE ST NW,3,Prunus yedoensis,Yoshino cherry,,,Excellent,Rosaceae,Prunus
POINT (-76.931603830599997 38.903779828),1021 49TH ST NE,7,Cercis canadensis,Eastern redbud,,,Good,Fabaceae,Cercis
POINT (-77.060799876199994 38.954580213500002),2934 FESSENDEN ST NW,3,Ulmus parvifolia,Chinese elm,,,Excellent,Ulmaceae,Ulmus
POINT (-77.027139872299998 38.978040234799998),1115 FERN ST NW,4,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.945035835799999 38.8705584593),4036 ALABAMA AVE SE,7,Ulmus americana,American elm,,,Fair,Ulmaceae,Ulmus
POINT (-76.961438937699995 38.858845974499999),2512 32ND ST SE,7,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.083859346799997 38.946887146100003),4400 BLK 43RD ST NW,3,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-77.064779705199996 38.927610639800001),3225 GARFIELD ST NW,3,,,,,,,
POINT (-76.979098485600005 38.942822869),1827 VARNUM ST NE,5,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.990484189100002 38.951311879599999),5027 12TH ST NE,5,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.9925407522 38.859131807099999),2605 BOWEN RD SE,8,,,,,,Null,Other
POINT (-76.992753040799997 38.859084414),2500 BLK BOWEN RD SE,8,,,,,,Fabaceae,Cercis
POINT (-77.043333178300003 38.941528096799999),1860 UPSHUR ST NW,4,Acer species,Maple,,,Good,Aceraceae,Acer
POINT (-77.034018424400003 38.983174088600002),1410 JUNIPER ST NW,4,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.086634590700001 38.928829618800002),4400 HAWTHORNE ST NW,3,Ulmus americana,American elm,,,Fair,Ulmaceae,Ulmus
POINT (-77.006442763799996 38.905703345100001),unit blk M ST NE,6,Prunus cerasifera,Purple leaf plum,,,Good,Rosaceae,Prunus
POINT (-76.988587293699993 38.885954270399999),OPP 1251 SOUTH CAROLINA AVE SE,6,Ulmus americana 'Princeton',Princeton elm,,,Good,Ulmaceae,Ulmus
POINT (-77.071890900699998 38.920049691400003),2300 BLK HALL PL NW,3,Quercus bicolor,Swamp white oak,,,Excellent,Fagaceae,Quercus
POINT (-77.024817843799994 38.967899860499998),816 TEWKESBURY PL NW,4,Carpinus species,Hornbeam,,,Good,Betulaceae,Carpinus
POINT (-76.998659705400001 38.894847072200001),520 D ST NE,6,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.023232948399993 38.971240564299997),712 WHITTIER ST NW,4,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-77.013979712899996 38.909598266499998),210 P ST NW,5,Quercus species,Oak,,,Good,Fagaceae,Quercus
POINT (-77.064224820600003 38.954210913899999),3108 FESSENDEN ST NW,3,Gleditsia triacanthos var. inermis,Thornless honeylocust,,,Good,Fabaceae,Gleditsia
POINT (-77.067956426199999 38.912215834100003),1662 34TH ST NW,2,Liquidambar styraciflua 'Slender Silhouette',Slender Silhouette Sweetgum,,,Good,Altingiaceae,Liquidambar
POINT (-76.994683142 38.9098945804),1401 BRENTWOOD PKWY NE,5,Quercus coccinea,Scarlet oak,,,Good,Fagaceae,Quercus
POINT (-77.070577287099994 38.907753741199997),3601 O ST NW,2,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-76.938308276399994 38.908499569299998),4423 ORD ST NE,7,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
POINT (-77.058096837099995 38.908392626599998),1337 29TH ST NW,2,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-77.058463730400007 38.9077269653),2907 DUMBARTON ST NW,2,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-76.984978653200002 38.8919533272),1400 BLK NORTH CAROLINA AVE NE,6,,,,,,,
POINT (-77.0274634851 38.908533780500001),OPP 1107 O ST NW,2,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-77.061181231600003 38.907855597599998),OPP 1334 31ST ST NW,2,Acer saccharum,Sugar maple,,,Fair,Aceraceae,Acer
POINT (-77.028152678699996 38.908066452),1300 BLK 12TH ST NW,2,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.987061020900001 38.882909840400004),1334 E ST SE,6,Tilia cordata,Littleleaf linden,,,Good,Tiliaceae,Tilia
POINT (-77.021727918400003 38.907196832700002),600 BLK N ST NW,2,Liquidambar Stryaciflua 'Sterile',Sweetgum (sterile),,,Good,Hamamelidaceae,Liquidambar
POINT (-77.062716222 38.9057541293),1225 WISCONSIN AVE NW,2,Quercus species,Oak,,,Good,Fagaceae,Quercus
POINT (-77.014242976099993 38.904255303799999),1125 NEW JERSEY AVE NW,6,Zelkova serrata 'Green Vase',Green Vase Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-76.976685587899993 38.9050212454),1774 LYMAN PL NE,5,Acer buergeranum,Trident maple,,,Good,Aceraceae,Acer
POINT (-77.100992520099993 38.938072819200002),5064 SEDGWICK ST NW,3,Quercus rubra,Red oak,,,Good,Fagaceae,Quercus
POINT (-77.061250719599997 38.933455093399999),3036 MACOMB ST NW,3,,,,,,,
POINT (-77.041782729600001 38.908788064200003),1300 BLK 18TH ST NW/N ST,2,Tilia cordata,Littleleaf linden,,,Good,Tiliaceae,Tilia
POINT (-77.088702005399995 38.934055629900001),3318 45TH ST NW,3,Lagerstroemia indica,Crape myrtle,,,Good,Lythraceae,Lagerstroemia
POINT (-77.067870459600002 38.953264774499999),3248 ELLICOTT ST NW,3,No Tree,No Tree,,,Fair,Null,No
POINT (-77.069195067600006 38.966673498399999),3400 OLIVER ST NW,3,Liquidambar rotundiloba,Rotundiloba sweetgum,,,Excellent,Hamamelidaceae,Liquidambar
POINT (-76.998512248699996 38.900733332500003),816 6TH ST NE,6,Carpinus species,Hornbeam,,,Good,Betulaceae,Carpinus
POINT (-76.993464570800001 38.954591733),914 HAMILTON ST NE/8th St,5,Prunus serrulata 'Kwanzan',Kwanzan cherry,,,Fair,Rosaceae,Prunus
POINT (-77.047226649300001 38.906041328800001),2100 BLK WARD PL NW,2,Liquidambar rotundiloba,Rotundiloba sweetgum,,,Good,Hamamelidaceae,Liquidambar
POINT (-77.013825248200007 38.916334920499999),147 THOMAS ST NW,5,Ginkgo biloba (male),Ginkgo (male),,,Fair,Ginkgoaceae,Ginkgo
POINT (-77.028928435200001 38.9722184986),1234 ASPEN ST NW,4,Gleditsia species,Honeylocust,,,Poor,Fabaceae,Gleditsia
POINT (-77.020988405599994 38.9388466081),557 RANDOLPH ST NW,4,Cercis species,Redbud,,,Dead,Fabaceae,Acer
POINT (-77.017575515700003 38.908527763800002),400 BLK O ST NW,6,Tilia species,Linden,,,Good,Tiliaceae,Tilia
POINT (-77.080333252100004 38.908549409300001),1434 44TH ST NW,3,Syringa reticulata,Lilac,,,Fair,Oleaceae,Syringa
POINT (-77.036144479499995 38.978644708300003),1500 FLORAL ST NW/16th,4,Quercus 'Darlingtoni',Darlington oak,,,Good,Fagaceae,Quercus
POINT (-76.941172467300007 38.899115043199998),OPP 4249 GAULT PL NE,7,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-77.026369636 38.917096500699998),1011 U ST NW,1,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-76.988877481700001 38.946447605499998),4700 BLK SARGENT RD NE/Buchanan,5,Ulmus americana,American elm,,,Fair,Ulmaceae,Ulmus
POINT (-76.988968746599994 38.902157127199999),1219 FLORIDA AVE NE,6,,,,,Fair,Fagaceae,Quercus
POINT (-76.984645310499999 38.904908409800001),1300 blk LEVIS ST NE,5,Taxodium distichum,Bald cypress,,,Good,Cupressaceae,Taxodium
POINT (-77.049276993399999 38.903565719),OPP 1011 NEW HAMPSHIRE AVE NW,2,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
POINT (-77.046716870799997 38.903580217799998),1000 BLK 21ST ST NW/ K ST,2,Quercus bicolor,Swamp white oak,,,Good,Fagaceae,Quercus
POINT (-76.937464403500002 38.882422358500001),4423 FALLS TER SE,7,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-76.972017557499996 38.934063776),2400 blk NEWTON ST NE,5,Cornus florida,Flowering Dogwood,,,Good,Cornaceae,Cornus
POINT (-77.033395694700005 38.942905712799998),1402 VARNUM ST NW,4,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-77.044785114299998 38.918555483299997),1900 BLK WYOMING AVE NW,1,Quercus imbricaria,Shingle oak,,,Excellent,Fagaceae,Quercus
POINT (-76.992490401300003 38.924171471400001),2638 10TH ST NE,5,Tilia cordata,Littleleaf linden,,,Good,Tiliaceae,Tilia
POINT (-76.955664982 38.87468117),3434 N ST SE,7,Other (See Notes),Other (See Notes),,,Good,Null,Other
POINT (-77.005817698800001 38.837284174300002),3700 BLK 1ST ST SE,8,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-77.019973508899994 38.973087496399998),6826 5TH ST NW,4,Other (See Notes),Other (See Notes),,,Good,Null,Other
POINT (-76.996102758500001 38.895469155599997),"400 BLK 7TH ST NE,  OPP LEXINGTON PLACE",6,Acer saccharinum,Silver maple,,,Good,Aceraceae,Acer
POINT (-77.075275887800004 38.943930053800003),3800 VEAZEY ST NW,3,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-76.994717187099994 38.955411011700001),5310 CHILLUM PL NE,5,Liquidambar rotundiloba,Rotundiloba sweetgum,,,Good,Hamamelidaceae,Liquidambar
POINT (-77.026950064800005 38.924537648200001),2625 11TH ST NW,1,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
